gene_id,gene_name,log2FC_RA_vs_OA,p_value
ABRAXAS1,ABRAXAS1,-0.13723940266319112,0.5771484375
ABRAXAS2,ABRAXAS2,0.10369354404956165,0.1015625
ABT1,ABT1,-0.036619336506493086,0.46484375
ABTB1,ABTB1,-0.46539392639679406,0.0048828125
ABTB2,ABTB2,-0.1854117153188419,0.2060546875
ACAA1,ACAA1,-0.09419103379537283,0.240234375
ACAA2,ACAA2,-0.019914349163939384,0.5771484375
ACACA,ACACA,0.051032654445307794,0.6376953125
ACACB,ACACB,-0.41260035310813875,0.0029296875
ACAD10,ACAD10,-0.3558672928834021,0.0185546875
ACAD11,ACAD11,0.02502962310529539,0.7646484375
ACAD8,ACAD8,-0.05244899716524045,0.2060546875
ACAD9,ACAD9,0.008168123552540594,0.8984375
ACADL,ACADL,0.4675924232959505,0.0673828125
ACADM,ACADM,0.09176353339608902,0.0419921875
ACADS,ACADS,-0.5881031754900687,0.0009765625
ACADSB,ACADSB,-0.05966453021058504,0.7646484375
ACADVL,ACADVL,0.006391253036028489,0.8984375
ACAN,ACAN,-0.22364628226291328,0.3203125
ACAP1,ACAP1,-0.153954415830691,0.240234375
ACAP2,ACAP2,-0.02708036877486981,0.6376953125
ACAP3,ACAP3,-0.3879393625863863,0.0009765625
ACAT1,ACAT1,-0.1778650314752137,0.0537109375
ACAT2,ACAT2,0.14352444738207298,0.4130859375
ACBD3,ACBD3,-0.11432905964080861,0.4130859375
ACBD3-AS1,ACBD3-AS1,-0.021069492954344352,1.0
ACBD4,ACBD4,-0.25316593268255333,0.240234375
ACBD5,ACBD5,-0.10558017045913765,0.0322265625
ACBD6,ACBD6,0.06009585854794576,0.2060546875
ACBD7,ACBD7,0.16704572068397153,0.7001953125
ACCS,ACCS,-0.29500584758979653,0.4130859375
ACCSL,ACCSL,0.011652732383072332,0.75
ACD,ACD,-0.04570207030510381,0.7646484375
ACE,ACE,-0.4065999705929319,0.46484375
ACE2,ACE2,0.21855309214464277,0.9453125
ACER1,ACER1,2.0241493510749313,0.5
ACER2,ACER2,-0.3743988726910544,0.1015625
ACER3,ACER3,0.025886330403778784,0.3203125
ACHE,ACHE,-0.534558410981556,0.375
ACIN1,ACIN1,-0.06391049093530801,0.3203125
ACKR2,ACKR2,-0.8641556401947929,0.0185546875
ACKR3,ACKR3,-0.8175758439883816,0.0185546875
ACKR4,ACKR4,0.2907809952550871,0.3203125
ACLY,ACLY,0.17575260487357533,0.2783203125
ACO1,ACO1,0.083945030986831,0.3203125
ACO2,ACO2,-0.06513939564043666,0.2783203125
ACOT1,ACOT1,-0.2893554863313177,0.2783203125
ACOT11,ACOT11,-0.19469610263437653,0.240234375
ACOT12,ACOT12,0.5249156522738246,0.7421875
ACOT13,ACOT13,-0.3270768354350459,0.013671875
ACOT2,ACOT2,0.039757332829564423,0.9658203125
ACOT4,ACOT4,-0.29241619512725736,0.2060546875
ACOT7,ACOT7,0.4210863715484139,0.0244140625
ACOT8,ACOT8,-0.14984511306872117,0.0673828125
ACOT9,ACOT9,0.06525044893215819,0.4130859375
ACOX1,ACOX1,0.007184348616557605,0.9658203125
ACOX2,ACOX2,0.0952038089559084,0.51953125
ACOX3,ACOX3,-0.05177571356972373,0.51953125
ACOXL-AS1,ACOXL-AS1,-3.27611132924549,0.0078125
ACP1,ACP1,0.14557386802852348,0.009765625
ACP2,ACP2,-0.08668136943514086,0.1015625
ACP3,ACP3,1.334634429700608,0.3125
ACP5,ACP5,-1.6270240014104222,0.0048828125
ACP6,ACP6,-0.4160295196439165,0.0048828125
ACP7,ACP7,-0.630414092131275,0.240234375
ACRBP,ACRBP,-0.6893409975371905,0.0830078125
ACRV1,ACRV1,-0.4537170939280223,0.3828125
ACSBG1,ACSBG1,0.06214810204113591,0.7001953125
ACSBG2,ACSBG2,-0.3865754765354722,0.4130859375
ACSF2,ACSF2,-0.3078072254226576,0.365234375
ACSF3,ACSF3,-0.17613483327063323,0.0419921875
ACSL1,ACSL1,-0.11839223160293394,0.5771484375
ACSL3,ACSL3,0.0897422391004107,0.240234375
ACSL4,ACSL4,0.07400536702035998,0.240234375
ACSL5,ACSL5,-0.1786414947432746,0.5771484375
ACSL6,ACSL6,-2.10637989489664,0.037109375
ACSM2B,ACSM2B,-0.0002534771101285883,1.0
ACSM3,ACSM3,-0.4921647768682246,0.0537109375
ACSM5,ACSM5,-1.3152660036035229,0.0673828125
ACSS1,ACSS1,-1.3679642421567504,0.001953125
ACSS2,ACSS2,-0.22298303857840746,0.1015625
ACSS3,ACSS3,-0.31429704279389775,0.0244140625
ACTA1,ACTA1,-0.4609798796191969,1.0
ACTA2,ACTA2,0.04337546230161037,0.8984375
ACTA2-AS1,ACTA2-AS1,0.06418848902648629,0.8310546875
ACTB,ACTB,0.17694937841492597,0.240234375
ACTBL2,ACTBL2,-1.989315383643393,0.296875
ACTC1,ACTC1,-0.3438984956700076,0.365234375
ACTG1,ACTG1,0.10562045534671646,0.0419921875
ACTG1P17,ACTG1P17,-0.3095832692741007,0.431640625
ACTG1P20,ACTG1P20,-0.19459999536655997,0.0673828125
ACTG1P4,ACTG1P4,-0.6169048400600445,0.0419921875
ACTG2,ACTG2,-0.5720331687820225,0.7646484375
ACTL10,ACTL10,0.5855887130113607,0.001953125
ACTL6A,ACTL6A,0.15077275018099082,0.123046875
ACTL7B,ACTL7B,-2.56635254230524,0.4375
ACTL8,ACTL8,0.11378088057097863,0.8984375
ACTN1,ACTN1,0.6865290862631683,0.0009765625
ACTN1-AS1,ACTN1-AS1,1.0005630677639754,0.8125
ACTN2,ACTN2,-0.5177348938168217,0.42578125
ACTN3,ACTN3,-1.089751920277749,0.3125
ACTN4,ACTN4,-0.18063534998569633,0.0244140625
ACTR10,ACTR10,0.01672761896575045,0.9658203125
ACTR1A,ACTR1A,-0.012715170399539311,0.8984375
ACTR1B,ACTR1B,-0.09139331961727873,0.123046875
ACTR2,ACTR2,0.28625669080570465,0.0048828125
ACTR3,ACTR3,0.014320764683395737,0.9658203125
ACTR3-AS1,ACTR3-AS1,-0.34605613449518124,0.6376953125
ACTR3B,ACTR3B,0.07664940706686896,0.51953125
ACTR3C,ACTR3C,-0.8367145772327402,0.0830078125
ACTR5,ACTR5,-0.02525638593691635,0.7646484375
ACTR6,ACTR6,0.0653274405702878,0.4130859375
ACTR8,ACTR8,0.07207916727066663,0.240234375
ACTRT1,ACTRT1,0.003671672698531678,1.0
ACTRT3,ACTRT3,0.21352712242380606,0.0537109375
ACVR1,ACVR1,-0.48159104818563375,0.0048828125
ACVR1B,ACVR1B,0.0068364963003464405,1.0
ACVR1C,ACVR1C,-0.4651064078100989,0.2060546875
ACVR2A,ACVR2A,0.1081288329608367,0.0673828125
ACVR2B,ACVR2B,-0.626784858921635,0.001953125
ACVR2B-AS1,ACVR2B-AS1,-1.1342783117728423,0.0322265625
ACVRL1,ACVRL1,-0.1626659661847655,0.5771484375
ACY1,ACY1,-0.14851046873192975,0.0537109375
ACYP1,ACYP1,-0.34417976109898235,0.1474609375
ACYP2,ACYP2,0.1614210188126531,0.6376953125
ADA,ADA,0.2936658305479963,0.123046875
ADA2,ADA2,-0.21998288263361623,0.7001953125
ADAL,ADAL,-0.03536836840065005,0.8984375
ADAM10,ADAM10,0.017932416041626074,0.9658203125
ADAM11,ADAM11,-1.2075849057356343,0.0048828125
ADAM12,ADAM12,0.10698696475339585,0.5771484375
ADAM15,ADAM15,-0.14630075980147572,0.3203125
ADAM17,ADAM17,-0.11343503003578315,0.2060546875
ADAM19,ADAM19,-0.10415014715831279,0.9658203125
ADAM20,ADAM20,-0.23611562749628534,0.123046875
ADAM20P1,ADAM20P1,-0.04010467115084613,1.0
ADAM21,ADAM21,-0.6253705943649055,0.0537109375
ADAM21P1,ADAM21P1,-0.369017742149623,0.76953125
ADAM22,ADAM22,-1.0698776441993323,0.0048828125
ADAM23,ADAM23,0.18433493988596222,0.4130859375
ADAM28,ADAM28,1.035110544692023,0.1015625
ADAM30,ADAM30,-0.12653753411239754,0.91015625
ADAM32,ADAM32,0.606805633576497,0.0244140625
ADAM33,ADAM33,-0.30096245560425644,0.4130859375
ADAM3B,ADAM3B,-0.9854420403496439,0.322265625
ADAM7,ADAM7,-2.0130128708474877,0.5
ADAM8,ADAM8,0.4253407671678,0.1474609375
ADAM9,ADAM9,-0.11622440426942655,0.2783203125
ADAMDEC1,ADAMDEC1,0.8496161894668381,0.10546875
ADAMTS1,ADAMTS1,0.7618913844783899,0.0009765625
ADAMTS10,ADAMTS10,-0.4538349752485578,0.0185546875
ADAMTS12,ADAMTS12,0.9632239044206155,0.0830078125
ADAMTS13,ADAMTS13,-0.5174993266555523,0.0244140625
ADAMTS14,ADAMTS14,-0.27866866859998035,0.2783203125
ADAMTS15,ADAMTS15,0.3741907246473328,0.240234375
ADAMTS16,ADAMTS16,-1.533673132847088,0.009765625
ADAMTS17,ADAMTS17,0.11015061544838482,1.0
ADAMTS18,ADAMTS18,-0.20915699208816413,0.84375
ADAMTS19,ADAMTS19,1.0378740506121542,0.25
ADAMTS2,ADAMTS2,0.06973061138978451,0.46484375
ADAMTS20,ADAMTS20,-0.08598703435058454,0.875
ADAMTS3,ADAMTS3,1.3302536321439595,0.0009765625
ADAMTS4,ADAMTS4,0.2575640886462903,0.3203125
ADAMTS5,ADAMTS5,-0.4975616516191857,0.0537109375
ADAMTS6,ADAMTS6,0.028990667810503953,0.9658203125
ADAMTS7,ADAMTS7,0.002448070876639925,0.9658203125
ADAMTS7P1,ADAMTS7P1,3.0767519135974912,0.3125
ADAMTS8,ADAMTS8,1.1558087728936053,0.2060546875
ADAMTS9,ADAMTS9,-0.7099568057573741,0.0673828125
ADAMTS9-AS2,ADAMTS9-AS2,-0.88064609430241,0.1474609375
ADAMTSL1,ADAMTSL1,-0.0522854298411399,0.365234375
ADAMTSL2,ADAMTSL2,-1.0937406376244099,0.1474609375
ADAMTSL3,ADAMTSL3,0.4038783615548206,0.46484375
ADAMTSL4,ADAMTSL4,-0.21352488326364288,0.5771484375
ADAMTSL4-AS1,ADAMTSL4-AS1,0.17840557509578298,0.3203125
ADAMTSL5,ADAMTSL5,-0.04391982081922728,0.7001953125
ADAP1,ADAP1,0.05648233255753874,0.8310546875
ADAP2,ADAP2,0.21746564619003378,0.5771484375
ADAR,ADAR,-0.02466210053759251,0.7646484375
ADARB1,ADARB1,0.2871077752255748,0.1748046875
ADARB2,ADARB2,-2.0157683189707534,0.5
ADAT1,ADAT1,0.00589849352351025,0.8984375
ADAT2,ADAT2,0.08057998477325734,0.1474609375
ADAT3,ADAT3,-0.03807952104494055,0.9658203125
ADCK1,ADCK1,-0.22405810978773252,0.123046875
ADCK2,ADCK2,-0.3236250716818227,0.0244140625
