V1,OA6,OA1,OA7,OA2,OA8,OA3,OA4,OA5,OA9,OA10,RA1,RA2,RA7,RA8,RA3,RA9,RA4,RA5,RA10,RA6
AR,0.000181055385207514,0.000262901274720839,0.000388790089139586,0.000411094107167961,0.000248612640027083,0.000318134100019103,0.000269509567313853,0.000222534372250695,0.000555612284158022,0.000219327984678589,0.000281903217668329,0.000269856266051688,0.000439789837933044,0.00018117537547572,0.000356103470564838,0.000179701682285002,0.000372571789177358,0.00054734627501967,0.000351689492249523,0.000329066658130877
ARID2,0.000155978962475926,0.000184044665629682,0.00074140814898321,0.000248678654061573,0.000269248118943555,0.00025247627002325,0.000237855266423731,0.000280085823211415,0.000341072069451275,0.000384731877593438,0.000192925076677491,0.00030559627326982,0.000188884324098598,0.000212764221375483,0.000254300101402093,0.000142730513212163,0.000233950852450133,0.000176723267879783,0.00026961975747001,0.000297759358519246
ARID3A,0.00200471237003073,0.00196395272546739,0.00223616465987307,0.0017664021374963,0.00172101313100882,0.00228101420848129,0.00157906444273568,0.0016999151437474,0.00225728304160091,0.00213645470937915,0.00202485392499345,0.00182994954124878,0.0016967856506354,0.00268608032363954,0.00146547180262798,0.00224003386627192,0.00202489835722313,0.00210010192751341,0.00268227510586351,0.00169881239015296
ARID3B,0.000196763237592663,0.000233296490322473,0.000319489388505913,0.000255213656742891,0.000178248014240425,0.000155021628228592,0.000235316701992291,0.000246749271490067,0.00020985153843668,0.000292126968795167,0.000265002584128562,0.000144443174539794,0.000235354514496092,0.000193839478478657,0.000149395038245285,0.000193157953451763,0.000181750337775815,0.000204409758109286,0.000333177444393454,0.000170093677600716
ARID3C,0.000101823526384992,0.000146626038606673,0.000137116359729479,0.000134340909708731,8.94765419482355e-05,6.73342403141609e-05,9.52847686798139e-05,4.90184213699525e-05,0.0001613426214227,7.83817783618094e-05,0.000100142932441134,0.00010152861416188,6.76786520531164e-05,8.72653796121257e-05,0.000123162088826314,0.000215631362750875,0.000145445546247464,0.000176203075898874,0.000232708866558127,0.000158600177514275
ARID5A,0.000622951395483153,0.00055883451351123,0.000345901147855835,0.00066890812278206,0.000362742164199695,0.000286134223930025,0.000277168517976757,0.000382149005461001,0.000392707689391035,0.000341053705945918,0.000284700041395444,0.000300832188409321,0.000244631121054167,0.000340446983130706,0.000370826564316207,0.000326908974213702,0.000249940159447883,0.000394883333015485,0.000309352005162868,0.000410449707755155
ARID5B,0.00148916027304875,0.00109943526266899,0.00110801600777292,0.00134546506868454,0.00139139400583283,0.000993961280702891,0.00185096071862953,0.00100419990529652,0.00249600388564496,0.00233955890059362,0.000832932347072859,0.000895874262717833,0.000869920097190389,0.00155617884745764,0.00160172776931832,0.00131871045345529,0.00102520807568403,0.00112883583160691,0.00162994850470225,0.00113904217842364
ARNT,0.000291844394279492,0.000423553596839752,0.000305617342602098,0.000432478702361701,0.000303832756498695,0.000389624093464562,0.000255207464313372,0.000311755100118302,0.000204793525865911,0.000246950560045275,0.000279495631349053,0.000286630640793929,0.000357838239524108,0.000281609520420075,0.000254316264877011,0.000252903778137609,0.000195107295149257,0.000190574051908712,0.000348048547236443,0.000199177075031649
ARNT2,0.000811217775980314,0.000933344103366608,0.000795504762218919,0.000772277514422875,0.000737359531785083,0.000680057969729992,0.000476473800745155,0.000935874439215503,0.000551359433441124,0.000801666420902651,0.00139618250315793,0.000473962644880834,0.000659354429139049,0.000630816925074975,0.00106401227720854,0.000764005073362608,0.000588561239381074,0.000450159692742389,0.000527445390296617,0.000662263269633357
ARNTL,0.000217929616367241,0.000250126221574865,0.00022867155420389,0.000163556593861952,0.000128884741449787,0.000291983313233168,0.000217374483436206,0.00016940426055055,0.000202037768313414,0.000171609084420985,0.000136281957431955,0.000183044220624341,0.000223714086103783,0.000239736818630289,0.000298842535689369,0.000125727580857162,0.000198756703414446,0.000204446548364785,0.000141218924447373,0.000142651339751068
ARNTL2,0.000149822908485038,0.000259634698365701,0.000156764844345801,0.000138656062215486,0.00012445413416189,0.00029713738563315,0.000135885132623263,0.000280149921472077,0.000163718875316813,0.000114882483868167,0.000239414461671028,0.000152963952065177,0.000270710616815591,0.000255148768335676,0.000108410437223692,0.000177612039571952,0.000146402271375097,0.00012516840318294,0.00017418947277245,0.00011252634669363
ARX,3.75432842095729e-05,3.59438177339017e-05,2.91568180070523e-05,2.7806529018821e-05,3.72709466728478e-05,2.92249350037215e-05,2.73626944613965e-05,3.08348866404316e-05,2.8241631464709e-05,2.94689622699775e-05,3.32964085933018e-05,3.37248608586382e-05,5.01024624899187e-05,3.25879346399567e-05,3.34392048679345e-05,2.56867036002093e-05,2.82230734456725e-05,3.27207053100899e-05,2.68964434720019e-05,3.04203175949785e-05
