V1,OA6,OA1,OA7,OA2,OA8,OA3,OA4,OA5,OA9,OA10,RA1,RA2,RA7,RA8,RA3,RA9,RA4,RA5,RA10,RA6
FOXF1,8.46438821763865e-05,0.000123224312731709,8.58653001808099e-05,0.000104440211951949,7.95408984869795e-05,0.000106088421795166,0.000107083898435681,8.90533882239038e-05,0.000116623724610778,0.000126828971837641,0.000295483281436546,0.000187886109734989,0.000107255525362938,0.000520904135483803,9.80304734888589e-05,0.000160921005426376,0.000102312674580642,0.000130613010828324,9.54016997982892e-05,9.47273120344368e-05
FOXF2,0.000470236440331595,0.00125316650847169,0.00114170999572492,0.00110917243427536,0.000881114690139425,0.000870130942020427,0.00054817431101804,0.000908950645055419,0.00113192618874663,0.00103072978347406,0.00103369664385463,0.00189457949443948,0.00151191277285788,0.0010013508769252,0.0011016359991839,0.00146455945346509,0.00148993217915872,0.00078230885140496,0.000656470305061554,0.000939478013970045
FOXG1,6.40680020335364e-05,0.000112439268927849,5.67530374014193e-05,9.54227650199305e-05,0.000123094240169332,9.39172018016708e-05,9.06723738348011e-05,9.51524340537831e-05,0.000118431679058892,0.000123254721643918,0.00012093368701498,0.000106111098405187,0.000123132832185138,0.00016045710243447,9.0940887761328e-05,0.000122720112333329,5.88454115153332e-05,6.06549517643094e-05,5.83336985140688e-05,0.000131426252803136
FOXH1,5.98862541190636e-05,0.000157642807581689,2.8620745441335e-05,2.84539537124182e-05,3.26442353810052e-05,3.3854297866309e-05,4.4453527458408e-05,3.03762903931144e-05,3.01926183981787e-05,3.55651555417728e-05,3.0241304979487e-05,4.41269001530724e-05,2.75669276299793e-05,3.73425182443993e-05,0.000177573489820686,5.66111621535816e-05,2.68947503441996e-05,3.04101480374483e-05,4.16455812617657e-05,0.000135092520569499
FOXI1,0.000130610885069479,0.000127761320841574,9.68791204581446e-05,0.000123147351308066,9.63112092580554e-05,0.000100770953144509,8.65728136478343e-05,0.000124890710761675,0.00010302509472956,0.00014620785595272,0.000101127176948767,0.000110920397732947,0.000101672083284105,0.000109681041766327,0.000121954020450915,0.000133144052088722,0.000127015728599868,0.000123348092236656,8.35006916241053e-05,0.000143891615302947
FOXI2,6.42235717855578e-05,9.09587914475255e-05,6.46692944080953e-05,9.74026396018382e-05,7.50093956086339e-05,6.58565457759707e-05,5.30983389801988e-05,8.3438026227293e-05,7.43128362344909e-05,0.000105551102615057,7.87727760223187e-05,7.81078562462882e-05,6.87924305804499e-05,6.19556235011729e-05,9.26424832389752e-05,8.90728275553487e-05,9.89087099586031e-05,7.12591378142532e-05,5.50039196056699e-05,8.584333016396e-05
FOXJ2,0.00233036999121225,0.00365038777822083,0.00245023016399781,0.00309022274348007,0.00238599607331828,0.00241765688486629,0.00221135446913128,0.0030177613011589,0.00248111468792492,0.00303516581492448,0.00309120321167047,0.00326316911645424,0.00294875326454755,0.00262274252594753,0.00308649975541277,0.00323905385722099,0.00345176330369931,0.00297368695870373,0.00232484460999769,0.00292554303357932
FOXJ3,0.00413033550609,0.00683077249861651,0.00417628804838913,0.00414312582798887,0.00365580090912585,0.00452440978803479,0.00409127201531385,0.0050693215790563,0.00618458189430065,0.00473751995164179,0.00436548476652985,0.00477728586786958,0.00454334625006512,0.00435900815400566,0.00476848894544433,0.00523570955878727,0.00459942302405251,0.00405233449031363,0.00426800141496214,0.00465270101760208
FOXK1,0.000199853458270153,0.000109051382670546,0.000107797378301401,0.000294263693713175,0.000285916707316446,0.000201535304803736,0.000149124057484516,0.000127700050008783,0.000180213539760851,0.000226606372487733,0.000110947059622174,0.000175519300863426,0.000122696794610742,0.000119257207162308,0.000319359099462613,0.000111606424351963,9.85307821792884e-05,0.000375508065321683,0.000101862798116041,0.000319204013224891
FOXK2,0.0002248382877148,0.0002287227216402,0.000233801910288191,0.000255025858264754,0.000264280161048625,0.000264058898220625,0.000206029214400328,0.00027107203072187,0.000229715645258031,0.000477210723555542,0.000461089758670711,0.000345350844558648,0.000304243597251114,0.000382857020147205,0.000374227646482637,0.000381479775708922,0.000303988663206477,0.000199987830448809,0.000236869745714063,0.000250152441167525
FOXL1,0.000797181406165772,0.00138332622900045,0.000864385988353623,0.000855964714083991,0.00143459602271519,0.00135962230094205,0.00137325892759632,0.0012747390091175,0.00178494373414951,0.0018181148772014,0.00193864608579325,0.00159587981174813,0.001656082604344,0.00183648618307282,0.0012411190590637,0.00138485714809416,0.00219208452587163,0.00123530017457525,0.00137234533850258,0.00144195629956148
FOXM1,0.000770157623531867,0.00169918973678664,0.00108755702377004,0.00132965236863348,0.00113693553890046,0.00142636287455659,0.00196285249476613,0.0017522365677567,0.00119148646159731,0.00125623405391803,0.00172891646516363,0.00091081696619818,0.00132934225580199,0.00126859990350978,0.000639264366387661,0.00146554226727527,0.00142901845139643,0.00122318486555083,0.000943021829947387,0.00131504194256296
FOXO1,0.00469078569253038,0.00475461734462505,0.00374382532336441,0.004113383614855,0.00420335651198753,0.00481673320204097,0.00336457965191301,0.00348209916852899,0.00417813598422535,0.00396754912699499,0.00245816232964644,0.00331417610724053,0.00285475715088249,0.00248810685619317,0.00297621431515722,0.00188045322779364,0.00336918938120041,0.00283418532230761,0.00418262153695298,0.00314180700543333
FOXO3,0.00495890681907575,0.00623050191127567,0.00571060610575095,0.00561252757618174,0.0050444840638253,0.00609266429059309,0.00460730296022889,0.0054437213837487,0.00571486872935867,0.00668170520733596,0.00659970843351661,0.0074290451428521,0.00586361751041307,0.00628593725125762,0.00454875103723447,0.00539966822288133,0.00695760526582783,0.00599931992649295,0.00801580064616952,0.00554592148890185
FOXO4,0.00280865888188579,0.00281071766275843,0.00282672514466918,0.00208493970824301,0.00241687351293429,0.00292888880436695,0.0019647989681146,0.00228200108500444,0.00272974961547785,0.00324932836909881,0.00243604654389385,0.00240324195214899,0.00208157911827366,0.00282912319318255,0.00214264340756366,0.00213807240321184,0.00256932628344645,0.00213899202435624,0.00331024572640716,0.00270758041274796
FOXO6,9.49095668141155e-05,0.000114123969390582,0.000136109968715235,9.85050440459241e-05,8.69437522434057e-05,8.81162203564485e-05,9.35614689571235e-05,0.000114795789893417,8.98961818850499e-05,0.000123329485021627,0.000204910595599423,0.00014010388473108,0.000126508619567469,0.000187369949965991,9.54255737058289e-05,0.000135781692721502,8.72894780022556e-05,0.000130864732886962,0.000110944525238598,0.000121645969129499
FOXP1,0.00697512304102868,0.00696575567833189,0.00672400861039496,0.00394951281107999,0.00654636400744483,0.0044909014538411,0.00444598106152762,0.00506867931011951,0.00685975703855542,0.00506393249609203,0.00476880100408458,0.00391833425664469,0.00332059707817521,0.00346895303019497,0.00558142359484233,0.00516751969924806,0.00440095375246856,0.00535770322086711,0.00576074193279229,0.00430353194793135
FOXP2,0.000328173123248732,0.000292283277400306,0.000281893486574799,0.000218771491809614,0.000193198584012158,0.00025551209331581,0.000208644247998025,0.000222235016137119,0.0001825555561871,0.000465244067463823,0.000114506080078024,9.78331725024912e-05,0.000134764006081589,0.000119224112262718,0.000193935616248932,0.000245494911488235,0.000165639564477094,9.35727575375527e-05,9.05977133768257e-05,0.000342464065253194
FOXP3,6.69323170226352e-05,6.77526001591233e-05,7.42566212661559e-05,0.000109585658414103,6.09549887206883e-05,7.66995895114908e-05,9.69279108599122e-05,6.94067231083813e-05,4.65695039008535e-05,7.67945127688962e-05,5.38955797803196e-05,5.98545182411617e-05,6.1636260583425e-05,6.44482178546658e-05,7.40441603370255e-05,5.3855753423674e-05,0.000111377506249474,8.36157176937228e-05,4.47528292609574e-05,0.000129935769056431
FOXP4,9.03570764921549e-05,0.000158282582767733,9.09665864840736e-05,0.000118718068986073,0.000123358144811364,8.62529819673426e-05,0.000102357602601222,0.000128602015328135,8.34717393374678e-05,0.000202322058734263,0.000176678411447,0.000102817301853464,8.83680423531447e-05,0.000182776518741231,0.000112155740259342,0.000182565144238673,0.000103973159380547,7.46609988327833e-05,6.75842415955961e-05,0.000134797198132458
FOXQ1,0.000128136187247096,0.000139649129749016,0.000194031248211181,0.000120216668378008,0.000215398504000844,0.000373184338958709,0.000207920573094197,0.000389059013120545,0.000192478565755372,0.000257239046257718,0.000172442538317659,0.00015123141826651,0.000106342856179996,0.000145302185835905,0.000214002684511291,0.000195946064243816,0.00027050373049115,0.000214324252654586,0.000191413282410593,0.000146519527171185
FOXS1,4.43656333741262e-05,6.81929080211295e-05,8.24547589838313e-05,0.000106681284316588,9.87745618659151e-05,7.86698376506869e-05,5.45298271687107e-05,9.62955289890168e-05,7.57472222808789e-05,6.01888044327472e-05,5.71280358097142e-05,8.71290392684309e-05,4.68440418820295e-05,4.70019715291232e-05,0.000135106023135524,0.000593745231183508,7.10500688257538e-05,8.12598431822958e-05,4.6884910209453e-05,0.000156140964693929
FUBP1,0.00405885049266519,0.00424654151764421,0.00250823303197695,0.00287593283259016,0.00323209086648139,0.00312101510570024,0.00284565511824373,0.00409827266897723,0.00363510005165285,0.0037428228332232,0.00345766481417832,0.00231330352416107,0.00316688959903372,0.00325638347605855,0.00227726917199298,0.00339652108749802,0.00292436897725334,0.00328523114403228,0.00256012999591459,0.00357381360410035
GABPA,0.00148413246947167,0.00182356721978997,0.0013432945755273,0.0017334843852261,0.0016738860297937,0.00140627843602454,0.0016759221749982,0.00170169034133864,0.0014816052805773,0.00104005240785394,0.00118789024789272,0.00189604746527563,0.00128177722677944,0.0019055941159587,0.00196337808393696,0.00107932642125514,0.00120863819279036,0.0014319839665116,0.00179408614282075,0.00176480731175548
GATA1,0.000289907426035726,0.000136743376527241,0.000163943124656903,0.000133245603826126,0.000138048450074422,0.000116027632363343,0.000123555596005613,0.000133068254071532,0.000125993010808834,0.000139914418487153,0.000118412387655338,0.000143288337356321,0.000123991869713345,0.000168816313871035,0.000153656293118457,0.000156658499586375,0.000120419216981514,0.000140823236098574,0.000107747938883476,0.000192845249719726
GATA2,0.000191002529106935,0.000356361029405114,0.000391843871273154,0.000364218453532585,0.000389916529328832,0.000546801028477622,0.00096529794144139,0.000614348438997781,0.000406947501224274,0.000816958411069889,0.000542590991738033,0.000422190170507703,0.000398485377741509,0.000252782448548967,0.000361984385525378,0.000574324324839976,0.000335095266779406,0.000407225795407339,0.000659633944757824,0.000302335495409514
GATA3,0.000152181710147859,0.000117166237839953,0.00015049313474986,0.000148925593876779,0.000109542232218535,0.000109133887672657,0.000113575983160112,9.79574829414148e-05,0.000102608853881245,0.000114459414998208,0.000120351873344436,0.000123804892321924,0.000105915186318194,0.000176986506901977,0.000129791049602932,0.000140002597393557,0.000124242972638739,0.000210363906838963,0.00988140811111397,0.000205478285613217
GATA4,8.40463429269065e-05,4.73196019514868e-05,5.05965458161546e-05,6.3348964629053e-05,4.7427685770192e-05,4.67863749947912e-05,6.12174197477579e-05,7.96577627430813e-05,7.8996959110685e-05,6.36651820855232e-05,4.81699124132936e-05,5.70956227536123e-05,8.56922571469064e-05,5.68727640267662e-05,6.29046624447943e-05,7.1580012543345e-05,4.15481924886552e-05,8.78776138124593e-05,5.44414236017434e-05,6.96102685010703e-05
GATA5,8.23820224438607e-05,5.96576695572735e-05,6.12991544479627e-05,6.46452354011315e-05,5.02861413897942e-05,7.92307521094338e-05,5.82888778807078e-05,5.7012748105205e-05,5.28955988231704e-05,6.59904337394831e-05,5.25157788888793e-05,0.000100664342932882,5.64353905101718e-05,5.88405595660088e-05,6.36599979209392e-05,6.53362195516992e-05,4.58257308036696e-05,5.88474594780518e-05,5.46114310208846e-05,6.59224255077375e-05
GATA6,0.000617942268616324,0.000596076669021701,0.000537469999381372,0.00186334156579933,0.000545145933835853,0.00058818242932187,0.000684148268941864,0.000939516587836781,0.00128470988861199,0.00124583919725567,0.00112598469852754,0.00565277848637292,0.00145195154604935,0.000640529091017112,0.00146796418627124,0.00133478575526264,0.00269594166592983,0.0015118133705436,0.0015130935123671,0.00109741407091202
GBX1,2.0718638527658e-05,2.41251076805466e-05,2.08126179912468e-05,1.94512470612061e-05,2.05097479435028e-05,2.07128400031584e-05,1.9633144981817e-05,2.1472190180351e-05,1.83018983701417e-05,1.82892102446681e-05,2.54635250240894e-05,2.57003423420354e-05,1.94907184465347e-05,2.80026060845643e-05,2.62729966408275e-05,2.05003734823959e-05,1.968935221626e-05,2.4818847911382e-05,1.88885682565095e-05,2.12987469714773e-05
GBX2,3.38201987295426e-05,4.56010252181891e-05,3.15080273719984e-05,3.75028202772476e-05,3.19497596353402e-05,3.42654796853411e-05,3.4481989138853e-05,4.11788633569265e-05,2.81191626397998e-05,3.40121337734694e-05,4.1407623513015e-05,3.68189512875712e-05,3.2490748201309e-05,3.85110256172834e-05,4.51708540021654e-05,4.08614964896016e-05,3.76494277293675e-05,4.47664506308711e-05,3.19244862931235e-05,3.25892194647896e-05
GCM1,0.000140064443099228,5.59050300794925e-05,9.50100525771098e-05,9.93721503007156e-05,9.19283501763114e-05,7.62743479277258e-05,0.000137553281906366,5.03598931085114e-05,0.000108754780273603,9.34328325320098e-05,6.82576455355442e-05,0.000186538752234049,7.88150443316593e-05,8.86785691130091e-05,6.76928779398237e-05,8.3440931391435e-05,5.89253760666341e-05,0.000110391666077681,4.66806537525282e-05,7.68898515572653e-05
GCM2,2.31806174522055e-05,2.36036460237334e-05,2.11790163023195e-05,2.17246138148957e-05,2.04728643866956e-05,1.9362644148761e-05,2.06984732025601e-05,2.1447899506804e-05,1.8777106458108e-05,2.65126458624566e-05,2.59938148589437e-05,2.64096416207504e-05,2.05394745610178e-05,2.53108114228479e-05,2.92354222893236e-05,2.05512110221552e-05,1.90413472401517e-05,3.08489917738431e-05,2.02671392991075e-05,2.22066527606385e-05
GFI1,6.79436528637473e-05,7.957330061324e-05,5.96979979374239e-05,9.09590814991721e-05,7.1849175087209e-05,8.19923175124849e-05,6.85576851931796e-05,7.23417463335126e-05,0.000141831138462354,7.16504031972997e-05,0.000202605968857188,0.000146145883883776,0.000127598230711573,0.000140270019595486,6.99636145963959e-05,0.000100122708324128,7.4473765320994e-05,0.000142304005700493,0.000169029569865793,0.000107251449059112
GFI1B,3.15633873185023e-05,3.12660911757802e-05,2.94250079752259e-05,3.06605663196669e-05,3.22555081660826e-05,3.83209892344595e-05,2.70138206217329e-05,3.30786461170846e-05,2.8111074626336e-05,3.19645000066779e-05,5.59149735113369e-05,3.57355223631616e-05,4.74262771677235e-05,5.1990060996257e-05,4.08586651355741e-05,3.47453290805542e-05,2.41626254897756e-05,4.30811788147729e-05,6.48002035229925e-05,3.31007798836773e-05
GLI1,0.000109335680068221,7.77280565433197e-05,0.000132644330221792,0.0001989522981742,7.16583864793026e-05,0.000182001945531988,0.000263957425287093,0.000162706960926109,0.000190889684629267,0.000160783507511986,0.000186558815884326,9.06004233085703e-05,0.000149302351849351,0.0001609437854673,0.000155450203299274,0.000194085733988952,9.93916558594811e-05,0.00018848707095995,0.000130720614926176,0.000223644436542128
GLI2,0.000360336726785457,0.000303442084020254,0.000209860357321414,0.000219244993922269,0.000138447268822452,0.000248364519654516,0.000158135693969621,0.000202426024682897,0.0002696243025104,0.000239157817310637,0.000267767960659894,0.000340814399503286,0.000397194917453801,0.000310024154551387,0.000322499262159049,0.000334804579006048,0.000218135514600653,0.000288907226557586,0.000228922912208404,0.00022822635733877
GLI3,0.000590923177450526,0.000447209610454369,0.000521345430107605,0.000753019311409723,0.000591366012625158,0.000802162677660552,0.000552803627761118,0.000422711566212843,0.000318149155227859,0.000728613660798855,0.000244603562073672,0.000260526930586753,0.000394879796490734,0.00022493667020587,0.000384888323551965,0.000402994711970277,0.000277819780375988,0.00080905119086863,0.000426264884395369,0.000668122271647572
GLIS1,3.34441437499077e-05,3.65349068953208e-05,2.40888199826236e-05,2.48011523678346e-05,2.57427071799733e-05,5.47721390397257e-05,2.65257202048003e-05,2.65145865266287e-05,1.82965771371805e-05,2.09302114607675e-05,3.31063773165121e-05,3.65176093601769e-05,1.93703845382805e-05,5.29843491409461e-05,3.6658001561636e-05,3.13336595876922e-05,4.27875732420148e-05,3.2365377994852e-05,3.62015079573206e-05,9.2569237200403e-05
GLIS2,0.000135178323561208,0.000223006645193483,0.000196494980260129,0.000229134336987058,0.000207149956836216,0.000158813700573242,0.000239348708040986,0.000159550365255943,0.000242893057497895,0.00019668340671365,0.00018831659108506,0.00025848617731879,0.000154712323446228,0.000167245054314806,0.000204521632603453,0.000186833749784866,0.000169497481182168,0.000111127704011336,0.000121595341205999,0.000136654320615641
GLIS3,0.000422452551576142,0.000227423627822049,0.000688707872553243,0.000273945884365137,0.00024241304009211,0.000610816389205405,0.000293077975466291,0.000243460697233276,0.000231715715345313,0.000216147526594593,0.000279949696543462,0.00032975108532906,0.000240642705881665,0.000287724989163317,0.000399287304529115,0.000328144070144527,0.000232134231311214,0.000348889120820683,0.000322882721960043,0.000301490260664584
GMEB1,4.89739404333137e-05,5.59256456075306e-05,3.40004265819687e-05,3.23182753297412e-05,3.94463895315944e-05,3.6411031030779e-05,4.36434126031815e-05,3.73504336413436e-05,4.8687768544872e-05,1.97880162850332e-05,2.89870920461155e-05,3.52131500972732e-05,9.23045680067025e-05,2.04842425804985e-05,2.31351924178633e-05,3.82832662071191e-05,4.85687886888256e-05,3.23918114892594e-05,4.06450658499683e-05,3.88990068088303e-05
GMEB2,9.78668290799094e-05,0.000107285314032118,0.000178989298597552,0.000239288871734409,0.000229083219619624,9.87195975006932e-05,0.000201796004066628,0.000268875011494445,0.000165555260804135,0.0002735540855181,0.000136047888540466,0.000101543456978637,0.00015513982730788,0.000205653612882464,0.00025117954379971,9.37503595261837e-05,0.000243543324103223,0.00033531291541316,0.000181428859813417,0.000251943874431826
GRHL1,9.37107848459087e-05,0.000470932381376123,5.87049175691465e-05,7.72217373013581e-05,0.000112569007229748,0.000206598852864129,7.72717787610984e-05,0.000477697968387502,7.63266356846596e-05,6.24372722317116e-05,0.000130311760354587,0.00011059162002771,0.000146387243001435,8.82985461197704e-05,0.000105459276770441,0.000111753155930932,5.46057393561618e-05,0.000138283603570952,7.90065389733506e-05,0.000220688353719229
GSC,0.000109230783271052,0.000320338874505728,0.000377419255352174,3.98303969037355e-05,0.000101149734980859,0.000186445188115487,9.17249616941775e-05,0.000112515743041007,7.28137962985948e-05,8.33241402375375e-05,0.000177163168557666,0.000203327515328241,0.000184674062418329,0.000176849266386332,0.000377090594188203,0.000127566606944892,0.000121935325679835,7.20214388892042e-05,0.000109404088428199,0.000207863175631805
GSC2,2.69798874336202e-05,6.54339030245654e-05,2.8412168847487e-05,2.21866815344006e-05,2.62366442763761e-05,3.21894857046562e-05,2.99324284044781e-05,2.86575915837268e-05,2.27686979492673e-05,2.69536812646627e-05,4.63088085745226e-05,6.15615069291032e-05,2.83241913211588e-05,2.91572384604045e-05,3.65438151459101e-05,2.58238554273832e-05,2.55533016199084e-05,2.93294940974076e-05,2.57242153763728e-05,2.80002151821226e-05
GSX1,2.37810218257938e-05,3.50991572997258e-05,2.6945701954069e-05,2.35856943259941e-05,2.93762400421572e-05,2.43880842843801e-05,2.25354734106573e-05,2.58717735900954e-05,2.28737357992463e-05,2.33486680791874e-05,3.07421704964173e-05,2.92999117026327e-05,2.54643251833814e-05,2.83271667400751e-05,3.05423991747818e-05,2.49047337414469e-05,2.15576762798262e-05,3.31344050700035e-05,2.36313706952568e-05,2.59517893507721e-05
GSX2,2.84961783102107e-05,3.09033989547008e-05,2.70078658745588e-05,3.10307570454488e-05,3.2671048915466e-05,2.66820519175722e-05,2.47605869694338e-05,2.76842165983383e-05,2.58578861918072e-05,2.73882379186687e-05,3.32906828893278e-05,3.2198748831842e-05,3.75536385262427e-05,3.13664373276013e-05,4.63941138862777e-05,3.58938419681811e-05,3.11181060268729e-05,3.0014045146705e-05,5.90035405624974e-05,2.79832801005363e-05
HAND2,0.000331408009430592,0.00101015688590168,0.00101921527476269,0.000201330338449725,0.00035577217252862,0.000154397436388216,0.000112851130864045,0.000212659350371261,0.000116297891869758,0.00029466735974976,0.000202108872703737,0.000254823524334674,0.000390805046129894,0.000353522907502983,0.000375763342070863,0.000879347031498495,0.000169256291907913,0.00025631835370419,0.000163820560104044,0.000861850044318023
HBP1,0.00120300817596118,0.000727484237683862,0.000822729526903112,0.000839212891433589,0.0010027288195685,0.000861635532263599,0.00114399089454156,0.000509462949908285,0.00105243662818585,0.00157360849526629,0.00081066088932554,0.000962436677301218,0.000847261168322883,0.000597570025867684,0.000591115903150588,0.000568966491737289,0.000545635700912107,0.000564385555158324,0.000598986751664087,0.000598121663805117
HDX,0.000259064018333611,0.000317417674393633,0.000404095684090126,0.000287533522751793,0.00041771531707431,0.000318914902468735,0.000336682723324595,0.000306935086397613,0.000277166811756597,0.000498404346588215,0.000380781165019757,0.000368006619309264,0.00045275552907257,0.000247088460129479,0.000309141332428869,0.000461568718345488,0.000173153491074083,0.000396006772959436,0.000420937908589263,0.000421402276290477
HES1,0.00042549144041093,0.000424580077190028,0.000379255300481248,0.000395096839875206,0.000407423588866276,0.000346989136136887,0.000385702166836717,0.000372268612950914,0.000295139409590192,0.000376878264553034,0.000274479897072991,0.000362082531781506,0.000337972558515439,0.000420601863961076,0.000330084060511177,0.000229998500423126,0.000423664420485538,0.000269893489410224,0.000321374503321211,0.000347931036703559
HES2,2.72715062166266e-05,2.34411464684895e-05,2.29337830096551e-05,2.52356841000922e-05,3.10142285440133e-05,2.19299549060616e-05,2.29305984673817e-05,2.71622362046025e-05,2.60054363568759e-05,2.16405428862e-05,2.94952197913153e-05,2.70578972154763e-05,2.66231666859332e-05,2.69821469157541e-05,2.98712567027659e-05,2.41285640404658e-05,2.15891650166635e-05,2.589037989508e-05,2.61905918660099e-05,2.29655823050352e-05
HES4,1.84074454946901e-05,3.20739884078727e-05,2.04908957498773e-05,3.10380590787992e-05,4.05559091506076e-05,5.16755040352654e-05,0.000135604993311089,2.21930748192896e-05,1.93987434529056e-05,5.21556444032521e-05,2.11468440433313e-05,3.48901129867513e-05,2.21525951204709e-05,4.61414609817603e-05,4.7265446937182e-05,2.15304342307121e-05,2.54690342456367e-05,1.93254334279888e-05,3.52995347324384e-05,3.80890192480325e-05
HES5,4.54790376781102e-05,3.86888504649987e-05,3.27432199525373e-05,2.35394617970722e-05,3.43811599719149e-05,2.74531277132541e-05,2.40517025122922e-05,3.21009720866796e-05,2.72527658557127e-05,3.54963597355043e-05,2.88187435324333e-05,5.44638124524411e-05,3.86222617227861e-05,4.05484768323494e-05,4.30760713017013e-05,3.56951682421e-05,2.15025431775196e-05,2.78724111814321e-05,2.67338151387376e-05,3.95650515531036e-05
HES7,3.18611036268541e-05,2.7967792165707e-05,3.40145938088053e-05,2.32559106476968e-05,2.71770297165005e-05,2.71316571478273e-05,2.39460180511296e-05,2.54197193372406e-05,3.89699404154422e-05,3.37733323623752e-05,2.82916742420036e-05,3.92357360397071e-05,3.6409312391437e-05,3.19584592611274e-05,3.11512960348913e-05,3.35807786964975e-05,2.13535583960635e-05,2.81502916924461e-05,2.68059563973131e-05,2.62811764509295e-05
HESX1,0.000314695110061721,0.000291054624957365,0.000256659270460386,0.000187018126086751,0.000220208503470681,0.000299932739348527,0.000230853980101907,0.00027062797239319,0.000223400974693639,0.000320084774459637,0.000183857714702311,0.000179585615083361,0.000204609456860872,0.000252946118611834,0.000161263746450935,0.000178710793015635,0.00016716840079786,0.000408923950495081,0.000528934891158891,0.000175349565311334
HEY1,2.31846708791271e-05,4.22827495646067e-05,4.36876267581505e-05,4.33762304689102e-05,2.86151023246214e-05,3.68197032411688e-05,0.000123651342518105,2.57102073389142e-05,5.60689024725531e-05,6.05527643390541e-05,3.23469094196308e-05,3.22999652019149e-05,3.64461477439473e-05,3.36509302574906e-05,4.89393939169393e-05,3.29599778938808e-05,1.97275128094148e-05,2.310261341994e-05,7.00432741431943e-05,2.29222518640922e-05
HEY2,0.000189451685716814,0.000148464124027852,0.000612121147819573,0.000169781751131208,0.000161267196139636,0.000215225995313604,0.000105875063151625,0.000212566144768348,0.000161351109164964,0.000196372860119556,0.000171585987768668,0.000104153591330506,0.000202426545263788,8.7063547645107e-05,0.000307649070249302,0.000132927494324969,7.28732315104084e-05,0.000126002406756717,0.000154587350859866,0.000117467498443813
HEYL,2.27038014748524e-05,2.68697463033899e-05,2.22380508490729e-05,2.08957777501632e-05,2.69122080760531e-05,2.33754508268255e-05,2.10992078185935e-05,2.56753838693657e-05,1.92511080856031e-05,2.10148158810759e-05,2.50070436333775e-05,2.81555732799696e-05,2.20566457187911e-05,3.68478599999978e-05,2.77731425066105e-05,2.34125716321773e-05,2.03248704778022e-05,2.50905424800208e-05,2.26180482271284e-05,2.28098026255902e-05
HHEX,4.19040177946623e-05,2.97982520625122e-05,7.95896324797563e-05,2.69942993979778e-05,2.93543756095785e-05,9.43012467429878e-05,5.50526716206925e-05,9.473828810073e-05,3.10876073906149e-05,9.41698269322005e-05,2.13663091620543e-05,5.87830306804771e-05,3.23695041745207e-05,0.000105148590794375,0.000103423358355717,0.000271211762232375,8.77053430258916e-05,5.51257027806585e-05,2.53206347717307e-05,5.97936742262566e-05
HIC1,0.00031523990127918,0.000242074548150163,0.000305998750523209,0.000484159509225124,0.000229479582067862,0.00048747691419785,0.000633850110344013,0.000367920406684159,0.000356118375698336,0.000454406906740323,0.00025594643162151,0.000263378221784728,0.000365855599968975,0.000417753347354129,0.000439847562120889,0.00015565290434141,0.000297391580442823,0.000441871654212498,0.000261899493113287,0.000397923764315909
HIC2,0.000132467779151572,0.00014677279438704,0.000178441991117078,0.000151981617917359,0.000162574066821266,0.000120703966486377,0.000170613162649238,0.000233486144542189,0.000146989535843357,0.000162283514198285,0.000474913625610676,0.000141603756981182,0.000215233742338568,0.000150091156834578,0.000175376186816134,0.00015477719930955,0.000159723407986907,0.000169529803993393,0.000133497946989518,0.000141934267425437
HIF1A,0.000689190442625496,0.000684952997489062,0.000943296645351162,0.000661710554108398,0.000322928161285961,0.000996360491580727,0.00138327263216471,0.000451103764855285,0.00102912233010871,0.00144902360534591,0.000582376740108689,0.00156465178541095,0.00104982313458384,0.000882537070225121,0.00040855934389358,0.000981404853180791,0.000685811013654709,0.00127616725623866,0.000620891154104502,0.000998204872198268
HINFP,0.000731491000802529,0.000623951299886659,0.000531633118516126,0.000611079688044582,0.000914871856101327,0.00052580414012392,0.000641256364606779,0.000699235976626637,0.000782625367280249,0.000692906743168964,0.00126546713103898,0.000594371281790196,0.000697073847327204,0.000781816284683251,0.000635185367846746,0.000658838359951694,0.00065344029842373,0.000644893552091322,0.000466677247018327,0.000630199832177428
HIVEP1,0.000589538183255196,0.000371201794885185,0.000391115733035621,0.000415794749116675,0.0004787423574931,0.000463721024489949,0.000411230285601562,0.000523460206836299,0.000507170776674994,0.000644392816945466,0.000498986790027558,0.000474348857167355,0.000551385327728826,0.000464303358206282,0.000474269812458949,0.000458489549121171,0.000610686838712174,0.00046240900338674,0.000767553960568046,0.000474333784993449
HIVEP2,0.000517161517941428,0.000736494372528463,0.000532888135007762,0.000555758797106756,0.000589855627347379,0.0005770871796674,0.000458242430360955,0.000466408618554274,0.000388305605708396,0.000480481795359971,0.000529944245223425,0.000503627590626997,0.000377756245474039,0.00059729542867683,0.000330211935712672,0.000428359768997991,0.000538500121181469,0.000268748326289054,0.000647755053545675,0.000343198665229917
HLF,0.000146931635172989,0.000159052843482271,0.000110339772925908,0.000127516223559055,0.000210027796121565,7.13617365353344e-05,0.000118355786802454,0.000171213347926613,0.000168063040076303,0.000180221254614587,0.000127438696757626,0.000128800495390565,0.000137438858266946,0.000165833474947837,0.000108471847035503,8.66522564025753e-05,0.00021723271698757,0.00027905851931966,0.00029870510415983,0.000308865281000407
